Voltage_measured,Current_measured,Temperature_measured,Current_charge,Voltage_charge,Time_uniform,dV_dt,dT_dt
3.750737506913408,0.0007153222449235,5.998472266024072,-0.0006,0.002,0.0,,
3.888965439565555,0.745872476959981,6.002711159033393,0.74945,2.4875,1.0,0.13822793265214672,0.004238893009321565
4.027193372217702,1.4910296316750384,6.006950052042715,1.4995,4.973,2.0,0.13822793265214672,0.004238893009321565
4.0305097784850865,1.4909578986845036,6.008852032693631,1.4995,4.976125,3.0,0.0033164062673849415,0.0019019806509161796
4.0338261847524715,1.490886165693969,6.010754013344546,1.4995,4.97925,4.0,0.0033164062673849415,0.0019019806509152914
4.037142591019856,1.490814432703434,6.0126559939954625,1.4995,4.982375,5.0,0.0033164062673849415,0.0019019806509161796
4.040458997287242,1.4907426997128992,6.014557974646378,1.4995,4.9855,6.0,0.0033164062673858297,0.0019019806509152914
4.043775403554627,1.4906709667223645,6.016459955297294,1.4995,4.988625,7.0,0.0033164062673849415,0.0019019806509161796
4.047091809822012,1.4905992337318297,6.01836193594821,1.4995,4.99175,8.0,0.0033164062673849415,0.0019019806509161796
4.050408216089397,1.490527500741295,6.020263916599125,1.4995,4.994875,9.0,0.0033164062673849415,0.0019019806509152914
4.053724622356782,1.4904557677507602,6.022165897250042,1.4995,4.998,10.0,0.0033164062673849415,0.0019019806509161796
4.055866440343597,1.4905461476178963,6.025695845229011,1.4995,4.998,11.0,0.00214181798681512,0.003529947978969439
4.058008258330411,1.4906365274850322,6.02922579320798,1.4995,4.998,12.0,0.0021418179868142317,0.0035299479789685506
4.0601500763172265,1.4907269073521683,6.032755741186948,1.4995,4.998,13.0,0.00214181798681512,0.0035299479789685506
4.062291894304041,1.4908172872193042,6.036285689165918,1.4995,4.998,14.0,0.0021418179868142317,0.003529947978969439
4.064433712290856,1.4909076670864403,6.039815637144887,1.4995,4.998,15.0,0.00214181798681512,0.003529947978969439
4.066575530277671,1.4909980469535764,6.043345585123856,1.4995,4.998,16.0,0.00214181798681512,0.0035299479789685506
4.068717348264485,1.4910884268207123,6.046875533102824,1.4995,4.998,17.0,0.0021418179868142317,0.0035299479789685506
4.0708591662513,1.4911788066878484,6.0504054810817935,1.4995,4.998,18.0,0.00214181798681512,0.003529947978969439
4.072502088713218,1.4903474390347569,6.053666179304814,1.4988125,4.998,19.0,0.001642922461917884,0.003260698223020775
4.074145011175136,1.489516071381665,6.056926877527836,1.498125,4.998,20.0,0.001642922461917884,0.003260698223021663
4.075787933637054,1.4886847037285735,6.060187575750857,1.4974375,4.998,21.0,0.001642922461917884,0.003260698223020775
4.077430856098971,1.487853336075482,6.0634482739738775,1.49675,4.998,22.0,0.0016429224619169958,0.003260698223020775
4.079073778560889,1.4870219684223904,6.066708972196898,1.4960625,4.998,23.0,0.001642922461917884,0.003260698223020775
4.080716701022807,1.4861906007692989,6.069969670419919,1.4953750000000001,4.998,24.0,0.001642922461917884,0.003260698223020775
4.082359623484725,1.485359233116207,6.073230368642941,1.4946875,4.998,25.0,0.001642922461917884,0.003260698223021663
4.0840025459466425,1.4845278654631155,6.0764910668659615,1.494,4.998,26.0,0.001642922461917884,0.003260698223020775
4.085553276114284,1.48302378954945,6.0812075605785925,1.4924428571428572,4.998,27.0,0.001550730167641845,0.0047164937126309425
4.087104006281926,1.4815197136357845,6.085924054291224,1.4908857142857144,4.998,28.0,0.001550730167641845,0.004716493712631831
4.088654736449568,1.480015637722119,6.090640548003855,1.4893285714285716,4.998,29.0,0.001550730167641845,0.0047164937126309425
4.090205466617209,1.4785115618084537,6.095357041716487,1.4877714285714285,4.998,30.0,0.0015507301676409568,0.004716493712631831
4.091756196784851,1.4770074858947881,6.100073535429118,1.4862142857142857,4.998,31.0,0.001550730167641845,0.0047164937126309425
4.093306926952493,1.4755034099811226,6.10479002914175,1.484657142857143,4.998,32.0,0.001550730167641845,0.004716493712631831
4.0948576571201345,1.473999334067457,6.109506522854381,1.4831,4.998,33.0,0.001550730167641845,0.0047164937126309425
4.0960877886785205,1.4729538767285777,6.111714843452519,1.4822125000000002,4.998,34.0,0.0012301315583860273,0.002208320598137803
4.0973179202369066,1.4719084193896983,6.1139231640506555,1.481325,4.998,35.0,0.0012301315583860273,0.0022083205981369147
4.098548051795293,1.470862962050819,6.116131484648793,1.4804375,4.998,36.0,0.0012301315583860273,0.002208320598137803
4.099778183353679,1.4698175047119393,6.118339805246931,1.4795500000000001,4.998,37.0,0.0012301315583860273,0.002208320598137803
4.101008314912065,1.4687720473730599,6.120548125845068,1.4786625,4.998,38.0,0.0012301315583860273,0.0022083205981369147
4.102238446470451,1.4677265900341805,6.122756446443206,1.477775,4.998,39.0,0.0012301315583860273,0.002208320598137803
4.103468578028837,1.466681132695301,6.124964767041343,1.4768875,4.998,40.0,0.0012301315583860273,0.0022083205981369147
4.104698709587223,1.4656356753564217,6.1271730876394805,1.476,4.998,41.0,0.0012301315583860273,0.002208320598137803
4.106077007319369,1.4665125363087599,6.1318238965123975,1.4758625,4.998,42.0,0.0013782977321463719,0.004650808872916912
4.1074553050515155,1.4673893972610978,6.1364747053853135,1.475725,4.998,43.0,0.0013782977321463719,0.0046508088729160235
4.108833602783662,1.4682662582134358,6.1411255142582295,1.4755875,4.998,44.0,0.0013782977321463719,0.0046508088729160235
4.110211900515808,1.469143119165774,6.145776323131146,1.47545,4.998,45.0,0.0013782977321463719,0.004650808872916912
4.111590198247955,1.4700199801181122,6.150427132004063,1.4753125,4.998,46.0,0.0013782977321463719,0.004650808872916912
4.112968495980101,1.4708968410704502,6.155077940876979,1.4751750000000001,4.998,47.0,0.0013782977321463719,0.0046508088729160235
4.114346793712247,1.4717737020227881,6.159728749749895,1.4750375,4.998,48.0,0.0013782977321463719,0.0046508088729160235
4.115725091444394,1.4726505629751263,6.164379558622812,1.4749,4.998,49.0,0.0013782977321463719,0.004650808872916912
4.117358201320186,1.4749581292711385,6.168618548520078,1.477975,4.9965,50.0,0.001633109875792016,0.004238989897265455
4.118991311195979,1.4772656955671506,6.172857538417344,1.4810500000000002,4.995,51.0,0.0016331098757929041,0.004238989897266343
4.120624421071771,1.4795732618631627,6.17709652831461,1.4841250000000001,4.9935,52.0,0.001633109875792016,0.004238989897266343
4.122257530947563,1.4818808281591749,6.181335518211876,1.4872,4.992,53.0,0.001633109875792016,0.004238989897265455
4.123890640823355,1.484188394455187,6.185574508109141,1.490275,4.9905,54.0,0.001633109875792016,0.004238989897265455
4.125523750699147,1.4864959607511992,6.189813498006408,1.49335,4.989,55.0,0.001633109875792016,0.004238989897266343
4.12715686057494,1.4888035270472113,6.194052487903674,1.4964250000000001,4.9875,56.0,0.0016331098757929041,0.004238989897266343
4.128789970450732,1.4911110933432234,6.1982914778009395,1.4995,4.986,57.0,0.001633109875792016,0.004238989897265455
4.129963882095841,1.491283113440838,6.2024762416277,1.4995,4.9875,58.0,0.0011739116451092713,0.004184763826760474
4.13113779374095,1.4914551335384525,6.206661005454461,1.4995,4.989,59.0,0.0011739116451092713,0.004184763826761362
4.132311705386059,1.4916271536360668,6.210845769281223,1.4995,4.9905,60.0,0.0011739116451092713,0.004184763826761362
4.133485617031169,1.4917991737336813,6.215030533107983,1.4995,4.992,61.0,0.0011739116451092713,0.004184763826760474
4.134659528676278,1.4919711938312958,6.219215296934744,1.4995,4.9935,62.0,0.0011739116451092713,0.004184763826760474
4.135833440321387,1.4921432139289101,6.223400060761505,1.4995,4.995,63.0,0.0011739116451092713,0.004184763826761362
4.1370073519664965,1.4923152340265247,6.227584824588266,1.4995,4.9965,64.0,0.0011739116451092713,0.004184763826761362
4.138181263611606,1.4924872541241392,6.231769588415027,1.4995,4.998,65.0,0.0011739116451092713,0.004184763826760474
4.1393608991828605,1.4922880965622793,6.2400045423505555,1.4995,4.998,66.0,0.001179635571254778,0.008234953935528644
4.140540534754114,1.4920889390004195,6.248239496286084,1.4995,4.998,67.0,0.0011796355712538897,0.008234953935528644
4.141720170325369,1.4918897814385597,6.256474450221612,1.4995,4.998,68.0,0.001179635571254778,0.008234953935527756
4.142899805896624,1.4916906238766998,6.2647094041571405,1.4995,4.998,69.0,0.001179635571254778,0.008234953935528644
4.144079441467878,1.49149146631484,6.272944358092669,1.4995,4.998,70.0,0.0011796355712538897,0.008234953935528644
4.145259077039133,1.4912923087529801,6.281179312028197,1.4995,4.998,71.0,0.001179635571254778,0.008234953935527756
4.1464387126103865,1.4910931511911203,6.2894142659637255,1.4995,4.998,72.0,0.0011796355712538897,0.008234953935528644
4.147618348181641,1.4908939936292605,6.297649219899254,1.4995,4.998,73.0,0.001179635571254778,0.008234953935528644
4.148594287071594,1.4906201818081641,6.302413437143838,1.49915,4.998,74.0,0.0009759388899528432,0.004764217244583868
4.149570225961547,1.490346369987068,6.307177654388422,1.4988000000000001,4.998,75.0,0.0009759388899528432,0.004764217244583868
4.1505461648515,1.4900725581659717,6.311941871633007,1.49845,4.998,76.0,0.0009759388899528432,0.004764217244584756
4.151522103741453,1.4897987463448756,6.3167060888775906,1.4981,4.998,77.0,0.0009759388899528432,0.004764217244583868
4.152498042631406,1.4895249345237793,6.321470306122174,1.49775,4.998,78.0,0.0009759388899537313,0.004764217244583868
4.153473981521359,1.489251122702683,6.326234523366759,1.4973999999999998,4.998,79.0,0.0009759388899528432,0.004764217244584756
4.154449920411312,1.488977310881587,6.330998740611343,1.49705,4.998,80.0,0.0009759388899528432,0.004764217244583868
4.155425859301265,1.4887034990604906,6.335762957855927,1.4967,4.998,81.0,0.0009759388899528432,0.004764217244583868
4.156243621796226,1.4873184194868534,6.341184625054588,1.49555,4.998,82.0,0.0008177624949610163,0.005421667198660884
4.157061384291187,1.4859333399132162,6.346606292253249,1.4944,4.998,83.0,0.0008177624949610163,0.005421667198660884
4.157879146786148,1.484548260339579,6.35202795945191,1.49325,4.998,84.0,0.0008177624949610163,0.005421667198660884
4.158696909281109,1.483163180765942,6.3574496266505705,1.4921,4.998,85.0,0.0008177624949610163,0.005421667198660884
4.15951467177607,1.4817781011923048,6.3628712938492304,1.49095,4.998,86.0,0.0008177624949610163,0.005421667198659996
4.160332434271031,1.4803930216186676,6.368292961047891,1.4898,4.998,87.0,0.0008177624949610163,0.005421667198660884
4.161150196765992,1.4790079420450304,6.373714628246552,1.48865,4.998,88.0,0.0008177624949610163,0.005421667198660884
4.161967959260953,1.4776228624713932,6.379136295445213,1.4875,4.998,89.0,0.0008177624949610163,0.005421667198660884
4.162739053460773,1.476944522776829,6.384847364091325,1.4865375,4.998,90.0,0.0007710941998197995,0.0057110686461117055
4.163510147660592,1.4762661830822648,6.390558432737436,1.485575,4.998,91.0,0.0007710941998189114,0.005711068646110817
4.164281241860412,1.4755878433877008,6.396269501383547,1.4846125000000001,4.998,92.0,0.0007710941998197995,0.0057110686461117055
4.165052336060231,1.4749095036931366,6.401980570029659,1.48365,4.998,93.0,0.0007710941998197995,0.0057110686461117055
4.16582343026005,1.4742311639985723,6.40769163867577,1.4826875,4.998,94.0,0.0007710941998189114,0.005711068646110817
4.16659452445987,1.4735528243040084,6.413402707321882,1.481725,4.998,95.0,0.0007710941998197995,0.0057110686461117055
4.167365618659689,1.4728744846094441,6.419113775967992,1.4807625,4.998,96.0,0.0007710941998189114,0.005711068646110817
4.168136712859509,1.47219614491488,6.424824844614104,1.4798,4.998,97.0,0.0007710941998197995,0.0057110686461117055
4.168828339538598,1.4708919999024062,6.428549724221055,1.4787875,4.998,98.0,0.0006916266790888415,0.0037248796069508927
4.169519966217686,1.4695878548899324,6.432274603828005,1.477775,4.998,99.0,0.0006916266790879533,0.0037248796069500045
4.170211592896774,1.4682837098774586,6.435999483434955,1.4767625,4.998,100.0,0.0006916266790879533,0.0037248796069500045
4.170903219575862,1.4669795648649848,6.439724363041906,1.4757500000000001,4.998,101.0,0.0006916266790888415,0.0037248796069508927
4.171594846254951,1.4656754198525113,6.443449242648857,1.4747375,4.998,102.0,0.0006916266790888415,0.0037248796069508927
4.172286472934039,1.4643712748400375,6.447174122255807,1.473725,4.998,103.0,0.0006916266790879533,0.0037248796069500045
4.172978099613127,1.4630671298275637,6.450899001862757,1.4727125,4.998,104.0,0.0006916266790879533,0.0037248796069500045
4.173669726292216,1.46176298481509,6.454623881469708,1.4717,4.998,105.0,0.0006916266790888415,0.0037248796069508927
4.174310858038075,1.461030547718921,6.45806566022982,1.470675,4.998,106.0,0.0006411317458585586,0.00344177876011198
4.174951989783934,1.4602981106227522,6.461507438989932,1.4696500000000001,4.998,107.0,0.0006411317458594468,0.00344177876011198
4.1755931215297935,1.4595656735265834,6.464949217750044,1.468625,4.998,108.0,0.0006411317458594468,0.00344177876011198
4.176234253275652,1.4588332364304144,6.468390996510156,1.4676,4.998,109.0,0.0006411317458585586,0.00344177876011198
4.176875385021511,1.4581007993342454,6.4718327752702685,1.466575,4.998,110.0,0.0006411317458585586,0.003441778760112868
4.17751651676737,1.4573683622380766,6.47527455403038,1.46555,4.998,111.0,0.0006411317458594468,0.00344177876011198
4.1781576485132295,1.4566359251419079,6.478716332790492,1.464525,4.998,112.0,0.0006411317458594468,0.00344177876011198
4.178798780259088,1.4559034880457389,6.482158111550604,1.4635,4.998,113.0,0.0006411317458585586,0.00344177876011198
4.179491308284355,1.4547809980893531,6.489041476227304,1.4625714285714286,4.998,114.0,0.0006925280252669808,0.006883364676699699
4.180183836309623,1.4536585081329676,6.495924840904005,1.4616428571428572,4.998,115.0,0.0006925280252678689,0.006883364676700587
4.18087636433489,1.4525360181765818,6.502808205580704,1.4607142857142859,4.998,116.0,0.0006925280252669808,0.006883364676699699
4.181568892360158,1.4514135282201963,6.509691570257404,1.4597857142857142,4.998,117.0,0.0006925280252678689,0.006883364676699699
4.182261420385425,1.4502910382638106,6.516574934934104,1.4588571428571429,4.998,118.0,0.0006925280252669808,0.006883364676699699
